annualized_return,annualized_turnover,average_exposure,buy_and_hold_total_return_proxy,canceled_orders_at_end,candidate_id,context_start_index,cost_multiplier,eligible_for_selection,evaluation_end,evaluation_end_index_exclusive,evaluation_start,evaluation_start_index,event_count,event_digest,excess_return_vs_total_return_proxy,execution_price_buffer_bps,fast_window,fill_count,final_cash,fold_id,headline_benchmark,invested_fraction,maximum_drawdown,negative_cash,open_position_at_end,open_round_trips,pending_orders_at_end,profit_factor,protocol_id,risk_halt_reason,risk_halted,round_trip_trades,run_id,scenario,slow_window,stage,symbol,time_in_market,total_return,trade_expectancy,trade_win_rate,trial_id
0.2173049043395822,1.584483243332897,0.7431274017968683,0.1507723352120361,0,candidate_bf2bb2c137c15a939b1e618b1df8e10e,0,1,True,2018-01-31T14:30:00+00:00,630,2017-08-02T13:30:00+00:00,504,126,5c0f87e221a3d3da769eeb0bf99c650dfc231049ec37d460e0e6303664a318d5,-0.04780114111533679,1000,50,27,27700.421198,walk-forward-fold_3556d4dfcfb25e899d2f147d6fd56b91,adjusted_close_total_return_proxy,0.75,-0.01558481024823003,False,True,1,0,,qtpro-walk-forward-v1,,False,0,run_08f4c4c855bd532d8bbd04f2767abfcd,base,100,validation,SPY,0.9920634920634921,0.10297119409669929,,,research-trial_2ae12f286f0f5d1a9df515d994d9b0f9
0.25649071784433364,1.6655092925552781,0.8615030244117677,0.1507723352120361,0,candidate_db6f52ad8c5b5b1b847450927bddea97,0,1,True,2018-01-31T14:30:00+00:00,630,2017-08-02T13:30:00+00:00,504,126,57c277349af90b7fbfeb45dbaf74cae8c253f56457ae6bf051259ac2b3cb5a61,-0.030245422393305525,1000,50,2,13669.593412,walk-forward-fold_3556d4dfcfb25e899d2f147d6fd56b91,adjusted_close_total_return_proxy,0.95,-0.01797668071381052,False,True,1,0,,qtpro-walk-forward-v1,,False,0,run_a264a5736fa15056ba7de9b7dc25e43f,base,100,validation,SPY,0.9920634920634921,0.12052691281873056,,,research-trial_8f3a238259a7526183fdc0688d255008
0.14036671457035318,1.1699852465787814,0.49512080279395493,0.1507723352120361,0,candidate_4a329a6880be54ca9d930e411264a697,0,1,True,2018-01-31T14:30:00+00:00,630,2017-08-02T13:30:00+00:00,504,126,890a15f71e431da64e5743561216376a58e98246cfa22d6325d2cdad67f83ce3,-0.08311535100768057,1000,50,38,53486.599574,walk-forward-fold_3556d4dfcfb25e899d2f147d6fd56b91,adjusted_close_total_return_proxy,0.50,-0.01037718536369813,False,True,1,0,,qtpro-walk-forward-v1,,False,0,run_37db61d943ed5afdac86f60f72056901,base,200,validation,SPY,0.9920634920634921,0.06765698420435552,,,research-trial_41f71ff72000514c8b5b7b3a6a511a9e
0.2173049043395822,1.584483243332897,0.7431274017968683,0.1507723352120361,0,candidate_90518319e7d8540d8a37489b331d1748,0,1,True,2018-01-31T14:30:00+00:00,630,2017-08-02T13:30:00+00:00,504,126,8b659787e0200472f5051e8b91da1dd6f1396ab2b9ccb1d39c269993b097660b,-0.04780114111533679,1000,50,27,27700.421198,walk-forward-fold_3556d4dfcfb25e899d2f147d6fd56b91,adjusted_close_total_return_proxy,0.75,-0.01558481024823003,False,True,1,0,,qtpro-walk-forward-v1,,False,0,run_46021a79ad7c508bb7e401befb33dc87,base,200,validation,SPY,0.9920634920634921,0.10297119409669929,,,research-trial_bccc8f65b983565eafbee880f2aeb5f4
0.25649071784433364,1.6655092925552781,0.8615030244117677,0.1507723352120361,0,candidate_fae669cc91ff59ffbef9806b28157315,0,1,True,2018-01-31T14:30:00+00:00,630,2017-08-02T13:30:00+00:00,504,126,425391c04835a0a67afd930bc28bdac168924c7849ec6517c83bbb940b7371a9,-0.030245422393305525,1000,50,2,13669.593412,walk-forward-fold_3556d4dfcfb25e899d2f147d6fd56b91,adjusted_close_total_return_proxy,0.95,-0.01797668071381052,False,True,1,0,,qtpro-walk-forward-v1,,False,0,run_ef416c204fd25d36969195039c8588f5,base,200,validation,SPY,0.9920634920634921,0.12052691281873056,,,research-trial_b7abd868a7725f08b8afb8346c147e24
0.14036671457035318,1.1699852465787814,0.49512080279395493,0.1507723352120361,0,candidate_50864991c98a55808a4b062a48dd3db5,0,1,True,2018-01-31T14:30:00+00:00,630,2017-08-02T13:30:00+00:00,504,126,b66270b2e78c100d698cf060eb99549eddebc8e30a12c4f8638f111f7e175f3e,-0.08311535100768057,1000,50,38,53486.599574,walk-forward-fold_3556d4dfcfb25e899d2f147d6fd56b91,adjusted_close_total_return_proxy,0.50,-0.01037718536369813,False,True,1,0,,qtpro-walk-forward-v1,,False,0,run_38fd1222183151648b036385b90f47c9,base,250,validation,SPY,0.9920634920634921,0.06765698420435552,,,research-trial_cf4b1cb6b3655b6f8159858b974b25e0
0.2173049043395822,1.584483243332897,0.7431274017968683,0.1507723352120361,0,candidate_8aa1549de2f8501ba4464b218cd359ba,0,1,True,2018-01-31T14:30:00+00:00,630,2017-08-02T13:30:00+00:00,504,126,4ee8d6ceb14a6f76c80d14a05e3d962959fd66a22f15cfa3c6c4bcd5fcc9f6f9,-0.04780114111533679,1000,50,27,27700.421198,walk-forward-fold_3556d4dfcfb25e899d2f147d6fd56b91,adjusted_close_total_return_proxy,0.75,-0.01558481024823003,False,True,1,0,,qtpro-walk-forward-v1,,False,0,run_110e4f1ba11c5347ab17c7baa08c826f,base,250,validation,SPY,0.9920634920634921,0.10297119409669929,,,research-trial_14a78a9bdb105cc4ae6a670ce3ce6028
0.25649071784433364,1.6655092925552781,0.8615030244117677,0.1507723352120361,0,candidate_b297dc720fab577dae3066817b06c79d,0,1,True,2018-01-31T14:30:00+00:00,630,2017-08-02T13:30:00+00:00,504,126,a6b805baad3a588114d82ed34e351857cc5e7fdd27c89372438f2fadf82c5bce,-0.030245422393305525,1000,50,2,13669.593412,walk-forward-fold_3556d4dfcfb25e899d2f147d6fd56b91,adjusted_close_total_return_proxy,0.95,-0.01797668071381052,False,True,1,0,,qtpro-walk-forward-v1,,False,0,run_245eea94f5bf5a219dc4e88da61e4f03,base,250,validation,SPY,0.9920634920634921,0.12052691281873056,,,research-trial_9a9c3ecbb2b25ab68f929c57716f2f5a
0.14036671457035318,1.1699852465787814,0.49512080279395493,0.1507723352120361,0,candidate_595418782f535346a65d4b307cfc10fb,0,1,True,2018-01-31T14:30:00+00:00,630,2017-08-02T13:30:00+00:00,504,126,65f14b8bc62cbfa5664ac03138530c710ed3e843d36ff5c3df0c58277a128330,-0.08311535100768057,1000,100,38,53486.599574,walk-forward-fold_3556d4dfcfb25e899d2f147d6fd56b91,adjusted_close_total_return_proxy,0.50,-0.01037718536369813,False,True,1,0,,qtpro-walk-forward-v1,,False,0,run_7681b56bbbf451fe9ea0f4a01c399c5d,base,200,validation,SPY,0.9920634920634921,0.06765698420435552,,,research-trial_1e1ccd2e88fc55e8bc79a71646281750
0.2173049043395822,1.584483243332897,0.7431274017968683,0.1507723352120361,0,candidate_ac6a7147cff9584fbef30a9751424253,0,1,True,2018-01-31T14:30:00+00:00,630,2017-08-02T13:30:00+00:00,504,126,5a9d7518a91449b1f9ab3293eadc5aeed79063d8603780f437297b038a16a453,-0.04780114111533679,1000,100,27,27700.421198,walk-forward-fold_3556d4dfcfb25e899d2f147d6fd56b91,adjusted_close_total_return_proxy,0.75,-0.01558481024823003,False,True,1,0,,qtpro-walk-forward-v1,,False,0,run_7ede771f2597544ea7e54d94c463d4b3,base,200,validation,SPY,0.9920634920634921,0.10297119409669929,,,research-trial_52d198257f4e5fa8a607b374dbd154a8
